,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Presi_L3toL4quali,48.614636608344554,47.107246376811595,50.82603423680457,81.11707317073171,43.4305909617613,44.98531375166889,70.52666666666667,66.90969899665552,50.66232558139535,79.26666666666667,50.382191384793295,45.2,65.7993670886076,50.862548638132296,40.93271670190275,44.50283125707814,46.249842931937174,66.90524017467249,56.85397727272728,52.53783783783784,62.51111111111111
PL1toL9_NS,44.99355652759085,24.139130434782608,47.75888017118402,22.82439024390244,39.48354577056779,33.65714285714286,32.53,52.2675585284281,31.198139534883722,44.02280701754386,42.33226366001734,43.36,46.19303797468354,48.13610894941635,34.66136363636364,43.39303510758777,40.77036649214659,55.92066957787482,43.90265151515151,48.486486486486484,59.788888888888884
PL10toL11_7_NS,17.754744279946163,11.894202898550725,17.776783166904423,6.175609756097561,18.41911935110081,15.171562082777037,10.04,12.657859531772575,12.410697674418605,8.691228070175438,16.82963284186181,16.060000000000002,12.794936708860758,17.753035019455254,18.343763213530657,18.383691959229896,18.473717277486912,12.954585152838426,14.061931818181819,20.681081081081082,14.014814814814814
PL12to13NS,24.094044414535666,26.3,22.441066333808845,8.785365853658536,28.693279258400928,27.085714285714285,13.833333333333334,16.25083612040134,23.059534883720932,10.208771929824561,24.66782307025152,25.839999999999996,15.15886075949367,22.147568093385214,31.907346723044395,26.072763306908268,26.687329842931938,14.364919941775838,20.65776515151515,19.74054054054054,12.807407407407409
PL14to15NS,13.157082772543742,37.67536231884058,12.021932952924393,62.21463414634147,13.404287369640787,24.08851802403204,43.61333333333334,18.827090301003345,33.33860465116279,37.08070175438596,16.172275224053195,14.680000000000001,25.855696202531643,11.961653696498054,15.088319238900633,12.14858437146093,14.070366492146597,16.755749636098983,21.380871212121214,11.072972972972973,13.4
air_score_ward,0.09656796769851951,0.07246376811594203,0.09236804564907275,0.17073170731707318,0.02549246813441483,0.08678237650200267,0.1,0.15384615384615385,0.28837209302325584,0.21052631578947367,0.07025151777970512,0.0,0.056962025316455694,0.11750972762645914,0.06448202959830866,0.06568516421291053,0.03821989528795811,0.053857350800582245,0.2556818181818182,0.02702702702702703,0.0
GP_unique_name_count,1.378364737550471,1.5072463768115942,1.1069900142653353,2.268292682926829,1.1842410196987254,2.417890520694259,1.0,3.5953177257525084,5.72093023255814,1.7894736842105263,1.4854004047412548,1.8,1.4556962025316456,0.9929961089494164,1.160676532769556,0.8301245753114382,1.2277486910994764,1.8820960698689957,2.191287878787879,1.4324324324324325,0.7407407407407407
PH_unique_name_count,1.2139973082099595,1.2608695652173914,1.052246790299572,1.6097560975609757,1.0811123986095017,2.1134846461949266,0.9,2.3745819397993313,3.6232558139534885,1.4736842105263157,1.4489736918184446,0.2,1.2088607594936709,0.9579766536964981,1.23784355179704,0.9428086070215176,1.22565445026178,1.8296943231441047,2.053030303030303,0.24324324324324326,0.7777777777777778
Uni_score_ward,0.18506056527590847,0.36231884057971014,0.1704707560627675,1.1951219512195121,0.08922363847045191,0.30707610146862485,0.7666666666666667,0.6220735785953178,0.7906976744186046,0.6491228070175439,0.23764093668690373,0.0,0.810126582278481,0.15700389105058365,0.11839323467230443,0.08833522083805209,0.12774869109947645,0.50509461426492,0.5965909090909091,0.02702702702702703,0.14814814814814814
PriS_unique_name_count,2.2589165545087484,1.2463768115942029,2.1358773181169757,1.3658536585365855,2.054461181923523,2.6461949265687585,0.9333333333333333,2.4782608695652173,3.9302325581395348,1.263157894736842,2.0881757733448976,1.0,1.8544303797468353,2.045136186770428,1.9756871035940804,1.8386183465458663,1.956020942408377,2.004366812227074,2.4829545454545454,1.7027027027027026,1.6296296296296295
