ball,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,size,average_of_dummy_variables
10,0.42686229987573643,-0.3049742667599635,0.33286024611458076,-0.03385724885535329,0.033847182687030436,-0.3318782282001585,-0.31751463412893965,0.31753031719865427,-0.2557216004937395,0.007487362692964215,-0.5064278326823471,0.3777140194632541,0.3993525385857008,0.2550353341458122,0.49157022025869007,-0.5084003956131311,0.3049983626624436,0.2385936624853116,0.4499966172839254,0.33098055647390395,0.11605889534748277,-0.19849513156100787,-0.012266461315599152,-0.28159873551016285,-0.09813812912295718,0.20783653309971933,0.25766945972842636,-0.10562098109399991,0.026134845587095498,0.12924222968166535,0.050067897805032666,-0.07299248025907015,0.10667823070251518,0.05782017924255565,0.4570685169124024,0.199479618386817,0.37091644984099453,0.5894767273778548,0.3446082682856317,0.6958658571841573,3459.0,0.3527392309916161
11,-0.8102749029216947,0.45844733562224943,-0.8771029255793825,-11.808776622954015,11.80881388511682,2.6226236853213925,0.11439423049781357,-0.11768486127923902,0.8176441024493443,-0.760841465955335,0.809093621195308,-0.687049312279794,-0.5504753935632358,-2.3083121713681485,0.9934448589939155,-0.04049902472562987,-0.4599146980964627,-2.5366728528818525,-0.4079732647411317,-0.7364366744227645,0.24639298728737122,0.900522859079204,-0.5117655829459112,-0.19150089123453878,-0.35132418754585854,0.35843587607591193,0.05477764893159152,-0.3246380744779793,0.16620597264488426,-0.7439284707261555,-0.4916643123556502,-0.7067968719450559,0.8,0.8,0.2,0.6,0.8,0.8,0.0,0.2,5.0,0.525
12,0.05475066124580317,-0.4736577257675599,0.11176237146876335,-1.0046243754031678,1.0041900766115461,0.6060049753333948,-0.27116524640333717,0.2707226968887053,0.6719596489533632,-0.6229522055727928,-0.29315211867952484,-0.3029207807842406,0.7901052818908325,-0.8236404613238703,1.12059847452357,-0.6698218091690148,0.4736193778697439,-0.6797006088785343,0.3635223799476173,-0.6017730888214542,-1.275835229076445,-1.478578300911324,1.473758494202828,0.056861071206406585,-1.4254318142228426,-1.0138591342026468,1.574240816917639,-0.14705248469476678,0.01290945958991898,-0.03862325753267645,1.3551204632230764,-0.20913671414826293,0.10759493670886076,0.14556962025316456,0.9746835443037974,0.4936708860759494,0.7784810126582279,0.6772151898734177,0.6772151898734177,0.6455696202531646,158.0,0.5625
13,-0.31715866248197366,0.33675119399585024,-0.27831907284182494,0.13279649041082423,-0.13280026200205772,0.07324987440764473,0.344500762047439,-0.34449495122911455,0.23595518823766612,-0.07435567627010309,0.36832388446333875,-0.27903549846590225,-0.28593277734448913,-0.1687742989497466,-0.3379046564196259,0.34708919805217686,-0.33678724287649364,0.0048625719575015255,-0.37849588173124665,-0.2752270784715535,-0.132265052611324,0.1712574882071738,0.03403403364791363,0.2272029179303583,0.20563341617446435,-0.11596163594459562,-0.3148124876602171,0.04171186076178593,-0.19310136996789679,-0.21401898589358356,-0.13375432391489592,-0.09806074556642679,0.30797665369649807,0.31809338521400776,0.5177042801556421,0.02898832684824903,0.5889105058365759,0.49591439688715955,0.3293774319066148,0.5803501945525292,5140.0,0.39591439688715957
14,0.08465028977279694,0.25400587456046925,-0.033833961877320295,-0.12697082945515925,0.1269813879430619,-0.039032866734898225,0.17416827569129287,-0.1742579242078466,-0.8441929345599987,0.584175673912412,-0.466407777784401,0.5575523252427566,0.1430212160546842,0.384804388306065,0.16926940243218944,-0.27872160743681534,-0.2539368394327374,-0.03166215346618882,0.34376694857253803,0.8435795249848939,0.948739256807225,0.6268754411251909,-0.9230788866965209,-0.9540781729860199,0.39996522599617246,1.1379584949823478,0.11029329941509912,-0.12360801641706756,-0.11844397592167301,-0.018361081298634483,-0.2217721398146789,-0.13851113510269816,0.19080338266384778,0.07452431289640592,0.049682875264270614,0.05919661733615222,0.06659619450317125,0.5274841437632135,0.0354122621564482,0.6538054968287527,1892.0,0.20718816067653278
15,-0.43315196435239783,0.594227071797769,-0.5132010406551302,0.30691707363527826,-0.30690750698046304,0.8986028316608088,0.5820390898692147,-0.5820470874786274,-0.4106655429920498,0.7597993028301567,0.37022393946230936,-0.20112325923189267,-0.3725264664791938,-0.657691755829697,-0.7992057569448433,0.9104562702609516,-0.5942364500329301,-0.8112749076517413,-0.41350732942007506,0.19888178458551006,0.4715187914836257,0.6397656262985031,-0.578964022536437,-0.18860482551877233,0.41310058248239795,0.38834091873604404,-0.28939713362540387,-0.11985710747491403,-0.265617672042408,-0.22462312753865554,-0.2902931383197621,-0.21834638075704382,0.3952434881087203,0.3669309173272933,0.20271800679501698,0.0,0.26896942242355604,0.48924122310305773,0.009626274065685165,0.5866364665911665,1766.0,0.28992072480181197
16,0.14378416834946103,-0.21152378304387184,0.12823021455076403,-0.38363710064676254,0.3836482458532586,-0.5173937742132493,-0.2575297967298976,0.25746725781079605,-0.279744683041433,0.3235206221560038,-0.1957877820237505,0.06512163378524681,0.2411814241141192,0.4064509506004723,0.3542739883502905,-0.4438624588491415,0.21161673902608616,0.47586422462065786,0.19735008468502002,0.2217133716519527,0.40563927912663605,0.3113530778148431,-0.41057371575798657,-0.4185244841975469,0.44271620469600004,0.46729940545543275,-0.02810896899056878,-0.20548320580086626,-0.08858102328899872,-0.026882610931007404,-0.2004452078558504,-0.14996562584989534,0.14083769633507853,0.09162303664921466,0.2879581151832461,0.12460732984293194,0.3319371727748691,0.5507853403141362,0.24293193717277486,0.6612565445026178,1910.0,0.3039921465968587
17,1.3383795306176698,-1.2904082764959037,0.6632135370074944,0.2461788976642455,-0.2461691921668118,-1.039519966273941,-1.0048621617448015,1.00486196812274,0.6693194947911792,-1.0589000795085903,-0.8493868937602826,0.15597555516179004,1.1820718117615783,-0.0530318927780653,1.19655211613516,-1.0027229828619428,1.2906833273556857,0.905963271268427,0.6378868614249331,-0.4040923404881589,-1.226014604070068,-1.8680006773203028,1.5803509748944784,0.9096465603035006,-1.37291227754835,-1.1158633303916496,0.33699945067476683,-0.15673166046008177,0.2027581145003355,0.39540804445581534,0.6597619761482533,-0.12180673336069696,0.017467248908296942,0.008733624454148471,0.9985443959243085,0.5254730713245997,0.759825327510917,0.6841339155749636,0.9330422125181951,0.7743813682678311,687.0,0.5877001455604075
18,1.72600734129619,-1.8966601326767498,1.1182699466617583,0.042284760274946154,-0.042274588691801465,-0.8894343758709135,-1.909421920717249,1.9093124491248106,-0.5322281680401618,0.14690272190490555,-1.5060233228759503,1.0573865106942746,1.2585986968778866,0.49333404877434245,1.4439907408976411,-1.4044160030133324,1.8974029637035617,0.566334656958323,1.5621320955902909,0.6306624464719689,-0.1872474734637025,-1.297401156814439,0.6115336121221392,-0.1439286396696311,-1.0086285278738822,-0.30736904084700467,0.9658373999947711,0.47247906148075886,0.34042149933935506,0.551544587011466,0.8683392133390885,0.15694511404922645,0.005681818181818182,0.001893939393939394,0.7253787878787878,0.6742424242424242,0.23295454545454544,0.759469696969697,0.7215909090909091,0.8409090909090909,528.0,0.4952651515151515
19,-0.7653604323898879,0.0017695565424144086,-0.6827532248797534,-5.776499971776217,5.776523444636454,-0.3320517257952766,0.1781634673613442,-0.17856708416729422,0.892019284521818,-0.5252734917356771,0.07030574875122926,-0.6120720105286878,0.5430939126219659,-0.5598336823571184,0.7597531984359118,-0.4522276763359634,-0.003397923441862363,0.4319208844351682,-0.4872956184793376,-0.9355120186822826,-0.5583794014049654,0.5795153159058368,0.1955111813629135,0.2579192208813227,1.1688725100654886,-0.42521253381185103,-0.435638752353209,-0.24037824509134992,0.002551587086205119,-0.7136966626120602,-0.4300528270217316,-0.2975099994266925,0.5405405405405406,0.7837837837837838,0.7027027027027027,0.35135135135135137,0.9459459459459459,0.8918918918918919,0.6216216216216216,0.21621621621621623,37.0,0.6317567567567568
20,-0.6677080049572313,-0.03961723171238124,-0.7343863297452826,2.053719151965946,-2.0537135783611467,0.5624144850324833,0.2681684129142512,-0.2681473583826017,1.3026623676168607,-1.303317906301849,0.6555086519724815,-0.5666125939520235,-0.4347223846333308,0.11281873515967016,-0.5927816397142756,0.46773589874697696,0.038784656761211046,-0.4269732715633773,-0.651860794922485,-1.1192746011269887,-1.2637074277444231,-0.640099385284347,1.1568113090265262,1.2487590423177,-1.0241286049474279,-1.3159699511587046,-0.11925292775691548,-0.3246380744779793,-0.30541459053102615,-0.3399979234239372,-0.1539420964512072,-0.34007116993073877,0.5555555555555556,0.48148148148148145,1.0,0.037037037037037035,1.0,0.5555555555555556,0.8888888888888888,0.5925925925925926,27.0,0.638888888888889
