cluster21,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,size
10,335.19849246231155,96.97625628140705,4275.505025125628,51.23542713567839,48.76457286432161,43.59045226130653,96.81444723618091,3.1802763819095476,55.24660804020101,32.992713567839196,77.9110552763819,8.421733668341709,13.672613065326633,14.95213567839196,31.730402010050252,53.31670854271356,3.0177135678391958,54.53982412060301,1.8668341708542713,11.761557788944724,23.0858040201005,21.9321608040201,54.98329145728643,56.848115577889445,16.077261306532662,17.188819095477385,9.882286432160804,0.038944723618090454,0.535175879396985,0.44221105527638194,0.06155778894472362,2.1105527638190953,0.6469849246231156,0.8077889447236181,0.8793969849246231,0.0,0.9660804020100503,0.39195979899497485,0.32537688442211055,0.35804020100502515,796
11,3408.1200000000003,95.76965517241379,8130.144827586207,51.59068965517241,48.40931034482759,42.57896551724138,91.52103448275862,8.479655172413793,35.680689655172415,35.284827586206895,47.678275862068965,35.44965517241379,16.869655172413793,21.671379310344825,42.871034482758624,35.45758620689656,4.228620689655172,53.02413793103448,4.39551724137931,29.038620689655176,40.20310344827586,24.87206896551724,34.923448275862064,26.69137931034483,17.282413793103448,37.163448275862066,18.86862068965517,0.06206896551724138,1.1689655172413793,1.0793103448275863,0.11724137931034483,1.9551724137931035,0.15517241379310345,0.0034482758620689655,0.0,0.013793103448275862,0.0,0.506896551724138,0.0,0.6413793103448275,290
12,1388.6145721925134,97.3442513368984,5635.132352941177,51.23729946524064,48.76270053475936,42.28048128342246,96.03703208556149,3.961631016042781,48.31617647058823,35.256951871657755,74.8687165775401,11.207754010695187,13.920454545454545,16.129411764705882,35.83449197860963,48.03409090909091,2.6502673796791445,55.388502673796786,2.3323529411764703,16.427807486631018,30.022326203208557,24.774331550802142,45.20254010695187,43.877406417112304,19.433957219251337,25.456016042780746,11.230748663101604,0.04946524064171123,0.6470588235294118,0.6925133689839572,0.0427807486631016,1.606951871657754,0.38235294117647056,0.3181818181818182,0.09090909090909091,0.0,0.30614973262032086,0.4090909090909091,0.008021390374331552,0.5,748
13,2368.9227424749165,91.45484949832776,8064.250836120401,50.605016722408024,49.394983277591976,28.450167224080268,86.04548494983277,13.957859531772574,59.39565217391304,29.487959866220734,69.2304347826087,11.259866220735786,19.508026755852843,21.42541806020067,47.42073578595318,31.158528428093643,8.53210702341137,68.85083612040134,2.6933110367892974,11.108361204013379,21.139799331103678,21.50468227424749,57.355518394648826,52.2561872909699,18.461872909698997,18.926086956521736,10.35886287625418,0.13377926421404682,1.1270903010033444,0.9732441471571907,0.1505016722408027,1.8227424749163879,0.13712374581939799,0.10367892976588629,0.959866220735786,0.21739130434782608,1.0,0.4816053511705686,0.9464882943143813,0.6187290969899666,299
14,3364.9517857142855,92.55749999999999,14360.185714285713,51.11392857142857,48.88607142857143,40.13392857142857,83.85035714285713,16.14428571428571,40.30392857142857,34.6075,54.38285714285715,26.128928571428574,19.489285714285714,20.814642857142857,44.2775,34.91142857142857,7.433571428571429,55.730714285714285,4.127857142857143,25.090357142857144,36.260714285714286,23.718928571428574,40.018214285714286,31.545357142857146,18.045714285714286,32.25964285714286,18.155714285714286,0.21071428571428572,4.867857142857143,3.4857142857142858,0.4857142857142857,4.510714285714286,0.0035714285714285713,0.0035714285714285713,0.014285714285714285,0.04285714285714286,0.0,0.9642857142857143,0.0035714285714285713,0.9928571428571429,280
15,8253.834615384616,63.35576923076923,14694.807692307691,50.12435897435897,49.87564102564103,37.2698717948718,29.648076923076925,70.34871794871795,38.64230769230769,37.11025641025641,45.590384615384615,20.76794871794872,33.6474358974359,22.193589743589744,51.77756410256411,26.025000000000002,36.641666666666666,57.13525641025641,5.596794871794872,24.248076923076923,32.53525641025641,18.75128205128205,48.70128205128205,36.114102564102566,14.155128205128204,23.821153846153845,25.919871794871796,0.1987179487179487,2.58974358974359,2.358974358974359,0.3269230769230769,2.4294871794871793,0.00641025641025641,0.0,0.4807692307692308,0.6538461538461539,0.019230769230769232,0.7564102564102564,0.5897435897435898,0.8333333333333334,156
16,4647.590943396227,81.15132075471698,11927.098113207547,51.20603773584906,48.79396226415094,34.55358490566038,62.185660377358495,37.80415094339623,50.682641509433964,32.905660377358494,61.73547169811321,14.717358490566037,23.547547169811324,20.301509433962263,46.73849056603774,32.95471698113207,18.836981132075472,61.570188679245284,3.8705660377358493,16.41547169811321,24.90641509433962,18.900377358490566,56.19698113207547,49.002641509433964,16.08566037735849,18.829811320754715,16.080377358490566,0.06792452830188679,1.5811320754716982,1.6415094339622642,0.3169811320754717,2.2,0.018867924528301886,0.0,0.8452830188679246,0.2037735849056604,0.5433962264150943,0.6226415094339622,0.7245283018867924,0.7320754716981132,265
17,4255.621264367816,90.35862068965517,8695.30459770115,48.903448275862075,51.096551724137925,37.105172413793106,84.04080459770115,15.955172413793102,42.66379310344828,34.87413793103448,45.98620689655173,16.542528735632185,37.47126436781609,17.189655172413794,49.0919540229885,33.719540229885055,9.641379310344828,58.52816091954023,4.372413793103448,22.455747126436783,32.79425287356322,22.782183908045976,44.41609195402299,34.826436781609196,16.621264367816092,31.68620689655172,16.873563218390803,0.12643678160919541,2.0114942528735633,1.6149425287356323,0.12643678160919541,1.2988505747126438,0.1724137931034483,0.017241379310344827,0.25287356321839083,0.40229885057471265,0.09770114942528736,0.5689655172413793,0.06321839080459771,0.6494252873563219,174
18,213.1939393939394,94.89999999999999,5031.0,40.52121212121212,59.47878787878788,44.86060606060607,91.35757575757576,8.624242424242425,54.372727272727275,32.984848484848484,72.58181818181818,8.745454545454546,18.66060606060606,13.357575757575757,46.35757575757576,40.28787878787879,5.093939393939394,52.481818181818184,2.663636363636364,12.621212121212121,25.993939393939392,24.903030303030302,49.118181818181824,46.31212121212121,19.054545454545455,22.036363636363635,12.566666666666666,0.0,2.0303030303030303,0.42424242424242425,0.030303030303030304,1.7878787878787878,0.6060606060606061,0.8181818181818182,0.45454545454545453,0.2727272727272727,0.7878787878787878,0.9393939393939394,0.30303030303030304,0.36363636363636365,33
19,1029.7332258064516,97.28064516129032,4979.987096774194,52.21387096774193,47.78612903225807,52.13129032258065,97.1374193548387,2.851935483870968,45.134193548387096,37.413548387096775,75.11387096774193,9.060322580645161,15.821612903225805,12.605806451612905,28.573225806451614,58.82354838709677,2.7106451612903224,45.62870967741935,2.2429032258064514,17.449354838709677,31.034838709677416,24.601935483870967,44.36129032258064,47.10935483870968,18.006774193548388,23.916451612903227,10.97258064516129,0.1032258064516129,0.7838709677419354,0.9838709677419355,0.07096774193548387,1.2967741935483872,0.5290322580645161,0.3870967741935484,0.16774193548387098,0.0,0.13225806451612904,0.4645161290322581,0.0,0.5903225806451613,310
20,6131.902380952381,70.81190476190476,17409.5,49.89523809523809,50.10476190476191,46.34761904761905,34.74404761904762,65.25833333333333,32.31547619047619,36.34880952380953,37.88690476190476,32.39404761904762,29.725,24.19404761904762,52.482142857142854,23.34047619047619,29.177380952380954,46.98452380952381,6.655952380952381,31.341666666666665,39.70238095238095,19.20952380952381,41.08809523809524,24.69047619047619,12.220238095238095,27.295238095238098,35.813095238095244,0.19047619047619047,8.273809523809524,5.119047619047619,0.6904761904761905,5.178571428571429,0.0,0.0,0.21428571428571427,0.6309523809523809,0.0,0.9761904761904762,0.27380952380952384,0.9761904761904762,84
