index,wardcode,ward,Local_Authority_D,pop_density_sqrkilometer,Pborn_Europe,total_population,Ptotal_populationF,Ptotal_populationM,PEconomicallyInactive,Pwhite,Pother_ethnic,Phousehold_notdeprived,Phousehold_deprived1D,PhouseOwned,PhouseSocialRented,PhousePrivateRented,P0to15_age,P16to49_age,P50over_age,Pborn_outsideEurope,Pinemployment,Punemployment,Phousehold_D2ormore,Presi_0toL1quali,Presi_L2toApprequali,Presi_L3toL4quali,PL1toL9_NS,PL10toL11_7_NS,PL12to13NS,PL14to15NS,air_score_ward,GP_unique_name_count,PH_unique_name_count,Uni_score_ward,PriS_unique_name_count,small_communities,rural_communites,majorityL3L4q,majorityP16to49_age,dnone50,GP_above1,VeryGoodhealth,PH_above1,point,ball
3553,E05009943,Marsh Mill,Wyre,3081.7,98.2,6216,52.6,47.4,49.4,98.0,1.9,43.7,38.2,79.0,3.6,17.3,13.3,30.200000000000003,56.3,1.7000000000000002,48.9,1.7,18.1,31.1,25.3,43.5,42.7,21.6,24.4,11.3,0,4.0,1.0,0,1.0,0,0,0,0,0,1,0,1,816,15
3559,E05009944,Mount,Wyre,1272.8,98.0,5143,52.3,47.7,43.1,97.2,2.8,41.2,33.5,63.9,11.2,24.9,19.4,38.6,42.00000000000001,2.0,53.6,3.3,25.4,35.3,24.6,40.1,31.799999999999997,21.200000000000003,31.5,15.4,0,0.0,1.0,0,1.0,0,0,0,0,0,0,0,1,817,15
3564,E05009945,Park (Wyre),,3601.5,98.5,4976,51.8,48.2,48.2,97.6,2.4000000000000004,32.7,35.4,53.6,29.5,16.8,20.700000000000003,40.0,39.3,1.6,47.8,4.1,31.9,38.6,26.8,34.7,28.2,18.4,32.8,20.6,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,818,15
3575,E05009948,Pilling,Wyre,74.7,99.7,2628,51.4,48.6,43.4,98.9,1.0,49.3,35.4,81.6,8.0,10.4,16.4,30.2,53.4,0.3,54.5,2.1,15.3,27.0,24.8,48.2,53.4,17.1,19.4,10.0,0,0.0,0.0,0,3.0,1,1,0,0,0,0,0,0,821,15
3578,E05009949,Preesall,Wyre,392.4,98.5,5656,51.3,48.7,55.1,98.2,1.8,39.9,39.2,78.0,4.9,17.1,12.7,27.1,60.3,1.5,43.0,1.9,20.8,34.1,26.0,39.9,42.8,18.2,26.4,12.6,0,1.0,1.0,0,2.0,0,0,0,0,0,1,0,1,822,15
3580,E05009950,Rossall,Wyre,2745.7,97.7,6120,51.4,48.6,56.8,97.1,3.0,33.6,37.0,64.39999999999999,23.5,12.2,17.3,33.2,49.4,2.3,39.599999999999994,3.7,29.299999999999997,39.099999999999994,26.1,34.8,30.9,19.3,30.5,19.200000000000003,0,0.0,0.0,0,1.0,0,0,0,0,0,0,0,0,823,15
3584,E05009951,Stanah,Wyre,1288.3,98.7,4582,51.7,48.3,46.6,98.6,1.2999999999999998,50.9,34.9,87.0,1.9,11.0,14.7,31.5,53.8,1.4,51.5,1.9,14.3,26.6,25.200000000000003,48.3,48.8,21.6,18.7,11.0,0,0.0,0.0,0,2.0,1,0,0,0,1,0,0,0,824,15
3588,E05009952,Tithebarn,Wyre,2274.5,97.9,4284,51.1,48.9,43.5,96.9,3.1,53.4,32.5,77.2,3.4,19.3,13.9,33.5,52.5,2.1,54.3,2.2,14.1,24.6,24.299999999999997,51.099999999999994,51.599999999999994,19.799999999999997,17.6,11.0,0,1.0,2.0,0,1.0,1,0,1,0,1,1,0,1,825,15
3592,E05009953,Victoria & Norcross,Wyre,3469.3,98.0,4362,52.2,47.8,43.0,97.5,2.6,49.9,34.6,78.9,1.2,19.9,14.3,34.8,51.0,2.0,55.0,2.0,15.6,25.7,23.8,50.5,48.6,21.799999999999997,18.8,10.8,0,0.0,1.0,0,0.0,1,0,1,0,0,0,0,1,826,15
3598,E05009954,Warren,Wyre,3822.6,98.8,4815,51.0,49.0,46.1,97.4,2.6,41.8,35.4,72.89999999999999,12.8,14.4,19.3,35.400000000000006,45.2,1.2,50.1,3.8,22.8,37.4,25.2,37.4,33.5,22.2,27.299999999999997,16.8,0,0.0,0.0,0,2.0,0,0,0,0,0,0,0,0,827,15
